1. ["agave syrup", "agave nectar", "agave sweetener", "blue agave syrup", "organic agave syrup"]
388. ["breaded chicken fillet", "breaded chicken breast fillet", "fried chicken fillet", "breaded chicken cutlet", "crispy chicken fillet"]
389. ["chicken nuggets", "nuggets", "breaded chicken nuggets", "bite size chicken nuggets", "chicken nugget"]
390. ["fast food chicken nuggets", "drive thru chicken nuggets", "restaurant chicken nuggets", "chicken nuggets fast food", "nuggets fast food"]
391. ["frozen chicken nuggets", "oven chicken nuggets", "bagged chicken nuggets", "freezer chicken nuggets", "nuggets frozen"]
392. ["restaurant chicken nuggets", "dine in chicken nuggets", "chicken nuggets restaurant style", "kids meal nuggets", "restaurant nuggets"]
393. ["school lunch chicken nuggets", "cafeteria chicken nuggets", "school nuggets", "k12 chicken nuggets", "school cafeteria nuggets"]
394. ["chicken with vegetables soy sauce", "turkey with vegetables soy sauce", "stir fry chicken and vegetables", "no potatoes chicken vegetables", "soy based sauce chicken veggies"]
395. ["breaded chicken patty", "chicken patty breaded", "fried chicken patty", "chicken burger patty breaded", "crispy chicken patty"]
396. ["chicken salad spread", "chicken sandwich spread", "chicken salad dip", "spreadable chicken salad", "canned chicken salad spread"]
397. ["chicken tenders", "chicken strips", "breaded chicken tenders", "fried chicken strips", "crispy chicken tenders"]
398. ["fast food chicken tenders", "breaded chicken strips fast food", "drive thru chicken tenders", "chicken tenders fast food", "restaurant chicken strips"]
399. ["frozen chicken tenders", "breaded chicken strips frozen", "oven chicken tenders", "freezer chicken strips", "bagged chicken tenders"]
400. ["school lunch chicken tenders", "cafeteria chicken strips", "school chicken tenders breaded", "k12 chicken strips", "school cafeteria tenders"]
401. ["chicken thigh baked skin on precooked", "broiled chicken thigh skin on precooked", "precooked chicken thigh skin on", "baked chicken thigh with skin", "cooked thigh skin on"]
402. ["chicken thigh baked skinless precooked", "broiled chicken thigh skin off precooked", "precooked chicken thigh skinless", "baked chicken thigh no skin", "cooked thigh skin off"]
403. ["rotisserie chicken thigh skin on", "chicken thigh rotisserie with skin", "rotisserie thigh skin on", "rotisserie chicken dark meat", "rotisserie chicken leg thigh with skin"]
404. ["rotisserie chicken thigh skin off", "chicken thigh rotisserie skinless", "rotisserie thigh no skin", "rotisserie dark meat skinless", "rotisserie chicken thigh without skin"]
405. ["baked chicken wings precooked", "broiled wings precooked", "precooked chicken wings", "oven baked wings precooked", "cooked wings ready to eat"]
406. ["rotisserie chicken wings", "rotisserie wings", "chicken wings rotisserie style", "rotisserie wing pieces", "rotisserie cooked wings"]
407. ["canned chicken breast", "canned chicken meat", "canned white chicken", "chunk chicken breast canned", "canned chicken meat only"]
408. ["chicken pieces for stir fry", "chicken pieces for vegetables", "stir fry chicken pieces", "chicken strips for veggies", "chicken cubes for vegetables"]
409. ["plant based chicken", "vegan chicken", "meatless chicken", "vegetarian chicken", "plant based chicken pieces"]
410. ["breaded plant based chicken", "fried vegan chicken", "breaded meatless chicken", "crispy plant based chicken", "fried vegetarian chicken"]
411. ["chicken lunch meat", "sliced chicken deli meat", "chicken cold cuts", "sliced chicken breast deli", "deli chicken meat"]
412. ["low sodium chicken lunch meat", "reduced sodium chicken deli meat", "low salt sliced chicken", "deli chicken reduced sodium", "chicken cold cuts low sodium"]
413. ["chicken tail", "chicken tailpiece", "popes nose chicken", "chicken pygostyle", "chicken tail meat"]
414. ["chickpeas", "garbanzo beans", "canned chickpeas", "dry chickpeas", "chickpea beans"]
415. ["chili", "chili con carne", "beef chili", "bean chili", "bowl of chili"]
416. ["rice chips", "rice crisps", "rice snack chips", "rice crackers chips", "crispy rice chips"]
417. ["fresh chives", "raw chives", "chopped chives", "chive herb", "green chives"]
418. ["hot chocolate mix", "hot cocoa mix", "chocolate drink powder", "cocoa drink mix", "instant hot cocoa"]
419. ["light hot chocolate mix", "diet hot cocoa mix", "low calorie chocolate mix", "light cocoa drink", "reduced calorie cocoa mix"]
420. ["chocolate candy", "chocolates", "chocolate sweets", "chocolate bar", "milk chocolate candy"]
421. ["chocolate candy cereal", "chocolate with crisped rice", "crispy chocolate candy", "chocolate crunch bar", "chocolate with cereal"]
422. ["chocolate fruit candy", "chocolate with raisins", "chocolate covered fruit", "fruit and chocolate candy", "trail mix chocolate candy"]
423. ["chocolate with nuts", "nutty chocolate candy", "chocolate almond bar", "chocolate peanut candy", "chocolate nut cluster"]
424. ["candy coated chocolate", "chocolate candies", "coated chocolate pieces", "m and m candy", "chocolate buttons"]
425. ["cream filled chocolate", "chocolate cream candy", "chocolate truffle", "chocolate creme filled", "filled chocolate candy"]
426. ["assorted chocolate candy", "mixed chocolate candy", "variety chocolate candy", "chocolate confection", "chocolate sweets assorted"]
427. ["sugar free chocolate", "sugar free chocolate candy", "no sugar chocolate", "low sugar chocolate candy", "diet chocolate"]
428. ["chocolate chips", "semi sweet chips", "milk chocolate chips", "dark chocolate chips", "baking chips"]
429. ["chocolate hazelnut spread", "hazelnut chocolate spread", "cocoa hazelnut spread", "nut chocolate spread", "choco hazelnut"]
430. ["chocolate milk drink", "chocolate milk beverage", "ready to drink chocolate milk", "bottled chocolate milk", "chocolate dairy drink"]
431. ["chocolate skim milk", "fat free chocolate milk", "nonfat chocolate milk", "skim chocolate milk", "light chocolate milk"]
432. ["chocolate low fat milk", "chocolate 1 percent milk", "1 percent chocolate milk", "low fat chocolate milk", "chocolate milk 1 percent"]
433. ["chocolate reduced fat milk", "chocolate 2 percent milk", "2 percent chocolate milk", "reduced fat chocolate milk", "chocolate milk 2 percent"]
434. ["chocolate whole milk", "whole chocolate milk", "full fat chocolate milk", "regular chocolate milk", "chocolate milk whole"]
435. ["chocolate syrup", "chocolate sauce", "cocoa syrup", "ice cream chocolate syrup", "chocolate topping"]
436. ["light chocolate syrup", "diet chocolate syrup", "reduced calorie chocolate syrup", "low calorie chocolate syrup", "light cocoa syrup"]
437. ["chorizo", "pork chorizo", "mexican chorizo", "spanish chorizo", "chorizo sausage"]
438. ["meatless chow mein", "vegetable chop suey", "chow mein no noodles", "vegetarian chop suey", "chinese vegetables sauce"]
439. ["cilantro", "fresh cilantro", "coriander leaves", "cilantro bunch", "raw cilantro"]
440. ["canned clams", "chopped clams", "minced clams", "canned clam meat", "tinned clams"]
441. ["raw clams", "fresh clams", "clam meat raw", "live clams", "shucked clams"]
442. ["steamed clams", "boiled clams", "cooked clams", "clam meat cooked", "steamer clams"]
443. ["clementine", "clementine orange", "mandarin clementine", "clementines", "cuties orange"]
444. ["cocktail sauce", "seafood cocktail sauce", "shrimp sauce", "cocktail dipping sauce", "horseradish cocktail sauce"]
445. ["cocoa powder", "unsweetened cocoa", "baking cocoa", "cocoa", "cacao powder"]
446. ["sweetened coconut cream", "canned coconut cream", "coconut cream sweet", "pina colada cream", "coco lopez"]
447. ["coconut milk", "canned coconut milk", "unsweetened coconut milk", "regular coconut milk", "full fat coconut milk"]
448. ["coconut milk cooking", "culinary coconut milk", "cooking coconut milk", "canned coconut milk unsweetened", "coconut milk for recipes"]
449. ["coconut oil", "virgin coconut oil", "refined coconut oil", "cooking coconut oil", "coconut oil jar"]
450. ["coconut water", "unsweetened coconut water", "plain coconut water", "no sugar coconut water", "pure coconut water"]
451. ["fresh coconut", "raw coconut", "coconut meat fresh", "whole coconut", "coconut chunks"]
452. ["shredded coconut", "packaged coconut", "desiccated coconut", "sweetened shredded coconut", "bagged coconut"]
453. ["coffee with chicory", "chicory coffee", "brewed chicory coffee", "new orleans coffee", "cafe du monde style"]
454. ["decaf chicory coffee", "coffee with chicory decaf", "decaffeinated chicory coffee", "chicory decaf coffee", "no caffeine chicory"]
455. ["coffee cake yeast", "yeast coffee cake", "braided coffee cake", "ring coffee cake", "sweet yeast bread cake"]
456. ["coffee creamer", "creamer", "coffee whitener", "non dairy creamer", "coffee additive"]
457. ["liquid coffee creamer", "coffee creamer liquid", "pourable creamer", "refrigerated creamer", "liquid non dairy creamer"]
458. ["fat free coffee creamer", "nonfat coffee creamer", "liquid fat free creamer", "light coffee creamer", "zero fat creamer"]
459. ["fat free sugar free creamer", "zero sugar fat free creamer", "diet coffee creamer", "light sugar free creamer", "fat free flavored creamer"]
460. ["flavored coffee creamer", "vanilla creamer", "hazelnut creamer", "liquid flavored creamer", "seasonal coffee creamer"]
461. ["sugar free creamer", "sugar free flavored creamer", "zero sugar coffee creamer", "keto coffee creamer", "sugar free vanilla creamer"]
462. ["powder coffee creamer", "coffee creamer powder", "dry coffee creamer", "powdered non dairy creamer", "creamer powder"]
463. ["fat free powdered creamer", "nonfat creamer powder", "powder coffee creamer fat free", "light creamer powder", "zero fat creamer powder"]
464. ["flavored powdered creamer", "vanilla creamer powder", "hazelnut creamer powder", "powder coffee creamer flavored", "mocha creamer powder"]
465. ["soy coffee creamer", "soy creamer", "non dairy soy creamer", "liquid soy creamer", "plant based creamer"]
466. ["sugar free creamer powder", "flavored sugar free creamer", "zero sugar creamer powder", "diet powdered creamer", "low carb creamer powder"]
467. ["coffee substitute", "coffee alternative", "grain coffee", "chicory beverage", "coffee free drink"]
468. ["ready to drink coffee", "bottled coffee", "iced coffee bottle", "rtd coffee", "cold brew bottle"]
469. ["brewed coffee", "drip coffee", "black coffee", "fresh coffee", "hot coffee"]
470. ["decaf coffee", "brewed decaf", "decaffeinated coffee", "no caffeine coffee", "decaf drip coffee"]
471. ["flavored coffee", "vanilla coffee", "hazelnut coffee", "caramel coffee", "mocha flavored coffee"]
472. ["espresso", "espresso shot", "double espresso", "doppio", "short espresso"]
473. ["decaf espresso", "espresso decaf", "decaffeinated espresso", "no caffeine espresso", "decaf shot"]
474. ["decaf instant coffee", "instant decaf coffee", "instant coffee decaf", "decaffeinated instant coffee", "instant decaf"]
475. ["decaf instant coffee mix", "instant decaf 3 in 1", "decaf instant coffee sweet creamer", "pre lightened decaf mix", "decaf coffee mix sweetened"]
476. ["instant coffee", "instant coffee powder", "soluble coffee", "instant espresso powder", "freeze dried coffee"]
477. ["coleslaw dressing", "slaw dressing", "cole slaw dressing", "cabbage salad dressing", "creamy slaw dressing"]
478. ["restaurant coleslaw", "fast food coleslaw", "side coleslaw", "slaw from restaurant", "coleslaw cup"]
479. ["collard greens", "fresh collards", "raw collard greens", "collard leaves", "collards raw"]
480. ["cookie bar chocolate nuts graham", "rocky road bar", "smores bar", "graham nut chocolate bar", "bar cookie chocolate"]
481. ["lebkuchen cookie", "german spice cookie", "ginger lebkuchen", "honey spice cookie", "lebkuchen"]
482. ["cookie", "cookies", "baked cookie", "sweet cookie", "cookie snack"]
483. ["pfeffernusse cookie", "german peppernut cookie", "pepper nut cookie", "spice cookies german", "pfeffernuesse"]
484. ["pizzelle cookie", "italian waffle cookie", "anisette pizzelle", "thin waffle cookie", "pizzelles"]
485. ["almond cookie", "almond biscuit", "chinese almond cookie", "almond shortbread", "almond cookies"]
486. ["animal cookie", "animal crackers", "animal shaped cookies", "kids animal cookie", "animal snacks"]
487. ["frosted animal cookie", "iced animal cookies", "pink and white animal cookie", "frosted animal crackers", "circus animal cookie"]
488. ["applesauce cookie", "apple spice cookie", "soft apple cookie", "applesauce cookies", "apple oatmeal cookie"]
489. ["chocolate bar cookie", "cookie bar chocolate", "chocolate cookie bar", "blondie with chocolate", "bar cookie chocolate"]
490. ["brownie", "plain brownie", "chocolate brownie", "fudgy brownie", "brownie square"]
491. ["sugar cookie", "butter cookie", "sugar cookies", "butter cookies", "plain sugar cookie"]
492. ["chocolate iced sugar cookie", "chocolate filled sugar cookie", "butter cookie chocolate icing", "sugar cookie with icing", "cookie with chocolate filling"]
493. ["butterscotch brownie", "blondie", "butterscotch blondie", "butterscotch bar", "blondie bar"]
494. ["chocolate vanilla sandwich cookie", "black and white cookie", "sandwich cookie chocolate vanilla", "oreo type cookie", "duo flavor sandwich cookie"]
495. ["chocolate chip cookie", "choc chip cookie", "chips ahoy cookie", "homemade chocolate chip cookie", "cookie with chocolate chips"]
496. ["chocolate chip sandwich cookie", "cookie sandwich chocolate chip", "choc chip cream sandwich", "chocolate chip creme sandwich", "chip sandwich cookie"]
497. ["reduced fat chocolate chip cookie", "low fat chocolate chip cookie", "light choc chip cookie", "diet chocolate chip cookie", "chocolate chip reduced fat"]
498. ["reduced sugar chocolate chip cookie", "low sugar chocolate chip cookie", "sugar reduced choc chip cookie", "diet sugar chocolate chip cookie", "choc chip less sugar"]
499. ["chocolate cookie", "fudge cookie", "double chocolate cookie", "chocolate fudge cookie", "fudgy cookies"]
500. ["chocolate sandwich cookie", "chocolate cream sandwich", "oreo cookie", "chocolate creme sandwich", "cookie sandwich chocolate"]
501. ["reduced fat chocolate sandwich cookie", "low fat chocolate sandwich cookie", "light oreo", "oreo thin", "chocolate sandwich reduced fat"]
502. ["chocolate wafer cookie", "thin chocolate wafer", "wafer cookies chocolate", "chocolate wafers", "chocolate wafer biscuit"]
503. ["no bake chocolate oatmeal coconut", "chocolate oatmeal coconut cookie", "no bake cookies", "chocolate coconut oatmeal drops", "haystack cookies"]
504. ["chocolate rice cereal cookie", "chocolate crunch cookie", "chocolate rice crispy cookie", "krispie chocolate cookie", "chocolate cereal cookie"]
505. ["double stuffed chocolate sandwich", "double stuff oreo", "extra filling chocolate sandwich", "mega stuffed oreo", "chocolate sandwich extra creme"]
506. ["chocolate iced cookie", "chocolate coated cookie", "cookie with chocolate icing", "chocolate dipped cookie", "chocolate covered cookie"]
507. ["coconut cookie", "shredded coconut cookie", "toasted coconut cookie", "coconut biscuit", "coconut cookies"]
508. ["ice cream cone wafer", "sugar cone", "wafer cone", "ice cream cone", "cake cone"]
509. ["fig bar", "fig cookie", "fig newton", "fig filled bar", "fruit fig bar"]
510. ["fortune cookie", "chinese fortune cookie", "fortune cookies", "takeout fortune cookie", "cookie with fortune"]
511. ["fruit filled bar cookie", "cereal bar", "jam filled cookie bar", "fruit bar cookie", "newton type cookie"]
512. ["gingersnap cookie", "gingersnaps", "ginger snap cookies", "ginger cookies crisp", "molasses ginger cookies"]
513. ["gluten free cookie", "gf cookie", "wheat free cookie", "gluten free cookies", "gluten free choc chip cookie"]
514. ["granola cookie", "oatmeal granola cookie", "trail mix cookie", "granola bar cookie", "granola cookies"]
515. ["ladyfinger cookie", "savoiardi", "tiramisu ladyfingers", "ladyfingers", "sponge finger cookies"]
516. ["coconut macaroon", "macaroon cookie", "coconut macaroons", "almond macaroon", "passover macaroon"]
517. ["no bake marshmallow peanut butter cereal", "marshmallow peanut butter oat cookie", "cereal marshmallow cookie", "no bake cereal bar", "pb marshmallow cookie"]
518. ["chocolate covered marshmallow pie", "moon pie", "marshmallow chocolate pie", "choco pie", "marshmallow sandwich pie"]
519. ["chocolate covered marshmallow cookie", "marshmallow chocolate cookie", "mallo cookie", "choco covered marshmallow", "mallomar cookie"]
520. ["marshmallow coconut cookie", "marshmallow snowball", "coconut covered marshmallow", "snowball cookie", "marshmallow coconut treat"]
521. ["marshmallow rice cereal chocolate chip", "rice krispies treats chocolate chip", "cereal marshmallow chocolate chip bar", "marshmallow cereal chocolate chip", "chocolate chip rice krispies treat"]
522. ["marshmallow rice cereal treat", "rice krispies treat", "cereal marshmallow bar", "no bake cereal treat", "marshmallow cereal square"]
523. ["molasses cookie", "soft molasses cookies", "spice molasses cookie", "ginger molasses cookie", "molasses sugar cookie"]
524. ["multigrain high fiber cookie", "high fiber cookie", "whole grain cookie", "multi grain cookies", "bran cookie"]
525. ["oatmeal cookie", "oatmeal cookies", "oat cookies", "homemade oatmeal cookie", "soft oatmeal cookie"]
526. ["oatmeal creme pie", "oatmeal sandwich cookie", "oatmeal cream sandwich", "little debbie oatmeal creme pie", "oatmeal cookie sandwich"]
527. ["oatmeal pb and j sandwich cookie", "oatmeal peanut butter jelly cookie", "pbj oatmeal cookie sandwich", "oatmeal cookie pbj", "oatmeal sandwich pb and j"]
528. ["reduced sugar oatmeal cookie", "low sugar oatmeal cookie", "oatmeal cookie less sugar", "diet oatmeal cookie", "oatmeal reduced sugar"]
529. ["no bake chocolate peanut butter oatmeal", "chocolate peanut butter no bake cookies", "oatmeal pb chocolate no bake", "no bake oat cookie chocolate peanut butter", "no bake cookies chocolate peanut butter"]
530. ["oatmeal raisin cookie", "oatmeal cookie with raisins", "oat raisin cookie", "oatmeal raisin cookies", "soft oatmeal raisin"]
531. ["peanut butter cookie", "pb cookie", "peanut butter cookies", "soft peanut butter cookie", "crisscross peanut butter cookie"]
532. ["peanut butter sandwich cookie", "peanut butter creme sandwich", "nutter butter", "pb cream sandwich cookie", "peanut butter cookie sandwich"]
533. ["peanut butter rice cereal no bake", "pb rice krispies cookie", "no bake peanut butter cereal cookie", "peanut butter cereal squares", "pb cereal bars"]
534. ["sugar free peanut butter cookie", "peanut butter cookie sugar free", "low sugar pb cookie", "diet peanut butter cookie", "keto peanut butter cookie"]
535. ["pumpkin cookie", "pumpkin spice cookie", "pumpkin cookies", "fall pumpkin cookie", "soft pumpkin cookie"]
536. ["raisin cookie", "raisin cookies", "cookie with raisins", "raisin biscuits", "raisin sugar cookie"]
537. ["raisin cream pie", "raisin sandwich cookie", "raisin creme filled cookie", "raisin oatmeal cream pie", "raisin cream sandwich"]
538. ["rugelach cookie", "rugelach", "jewish pastry cookie", "chocolate rugelach", "fruit rugelach"]
539. ["rum ball cookie", "no bake rum balls", "chocolate rum balls", "holiday rum ball", "rum truffle balls"]
540. ["reduced sugar sandwich cookie", "low sugar sandwich cookie", "diet sandwich cookie", "sugar reduced creme sandwich", "light sandwich cookie"]
541. ["sandwich cookie assorted", "vanilla sandwich cookie", "lemon sandwich cookie", "peanut butter sandwich cookie", "assorted sandwich cookies"]
542. ["shortbread cookie", "butter shortbread", "scottish shortbread", "shortbread cookies", "shortbread biscuit"]
543. ["reduced fat shortbread cookie", "low fat shortbread", "light shortbread cookie", "shortbread reduced fat", "diet shortbread"]
544. ["sugar free cookie", "sugar free plain cookie", "no sugar cookie", "diet sugar free cookie", "keto cookie sugar free"]
545. ["sugar wafer cookie", "wafer cookie", "vanilla sugar wafer", "strawberry wafer cookie", "chocolate wafer cookie"]
546. ["chocolate covered wafer cookie", "chocolate coated sugar wafer", "choco covered wafer", "wafer cookie chocolate dipped", "chocolate dipped wafer"]
547. ["sugar free wafer cookie", "wafer cookie sugar free", "no sugar wafer", "diet sugar wafer", "sugarfree wafer"]
548. ["japanese tea cookie", "green tea cookie", "matcha cookie", "japanese cookie", "tea biscuit japanese"]
549. ["toffee bar cookie", "heath bar cookie", "toffee cookie bar", "english toffee cookie", "toffee crunch cookie"]
550. ["vanilla sandwich cookie", "vanilla creme sandwich", "golden oreo", "vanilla cream sandwich cookie", "vanilla cookie sandwich"]
551. ["double stuffed vanilla sandwich", "extra creme vanilla sandwich", "vanilla mega stuff", "double fill vanilla cookie", "vanilla sandwich extra filling"]
552. ["reduced fat vanilla sandwich cookie", "low fat vanilla sandwich cookie", "vanilla sandwich reduced fat", "light vanilla sandwich cookie", "vanilla oreo light"]
553. ["vanilla wafer cookie", "nilla wafer", "vanilla wafers", "wafer vanilla cookie", "nilla cookies"]
554. ["reduced fat vanilla wafer", "low fat vanilla wafer", "light nilla wafer", "vanilla wafer reduced fat", "diet vanilla wafer"]
555. ["caramel coconut chocolate cookie", "samoa cookie", "caramel delite cookie", "coconut caramel chocolate", "girl scout samoa"]
556. ["peanut butter chocolate coated cookie", "peanut butter patty cookie", "tagalong cookie", "pb chocolate cookie", "chocolate covered peanut butter cookie"]
557. ["corn chips", "fritos corn chips", "plain corn chips", "original fritos", "salted corn chips"]
558. ["corn dog", "corndog", "frozen corn dog", "mini corn dogs", "state fair corn dog"]
559. ["corn nuts", "toasted corn snack", "crunchy corn kernels", "corn nuts snack", "roasted corn snack"]
560. ["corn oil", "vegetable oil corn", "cooking oil corn", "maize oil", "corn oil bottle"]
561. ["corn syrup", "light corn syrup", "dark corn syrup", "karo syrup", "glucose syrup"]
562. ["canned corn", "cooked canned corn", "corn kernels canned", "no butter canned corn", "no added fat corn"]
563. ["reduced sodium canned corn", "low sodium canned corn", "no salt added corn", "canned corn low sodium", "cooked canned corn no fat"]
564. ["creamed corn", "cream style corn", "canned creamed corn", "creamed corn canned", "cream corn"]
565. ["raw corn", "fresh corn kernels", "corn on the cob raw", "uncooked corn", "sweet corn raw"]
566. ["cornbread muffin", "cornbread stick", "cornbread round", "corn muffin", "cornbread"]
567. ["cornbread stuffing", "cornbread dressing", "stuffing mix cornbread", "cornbread sage stuffing", "thanksgiving cornbread stuffing"]
568. ["cornbread mix", "jiffy cornbread", "corn muffin mix", "boxed cornbread", "cornbread from mix"]
569. ["corned beef hash", "canned corned beef hash", "breakfast hash", "hash corned beef", "corned beef and potatoes"]
570. ["corned beef patty", "corned beef burger", "fried corned beef patty", "corned beef patty frozen", "corned beef cake"]
571. ["cottonseed oil", "vegetable oil cottonseed", "frying oil cottonseed", "refined cottonseed oil", "cotton seed oil"]
572. ["crab", "crab meat", "fresh crab", "crab legs", "crab seafood"]
573. ["canned crab", "canned crab meat", "lump crab meat", "tinned crab", "pasteurized crab meat"]
574. ["cracker chips", "popped chips", "thin cracker crisps", "snack cracker chips", "popchips"]
575. ["cuban crackers", "galletas cubanas", "soda crackers cuban", "cuban style crackers", "water cracker cuban"]
576. ["crackers", "salted crackers", "snack crackers", "plain crackers", "cracker snack"]
577. ["ritz crackers", "butter crackers", "original ritz", "ritz original", "buttery crackers"]
578. ["flavored butter crackers", "garlic butter crackers", "herb butter crackers", "cheese butter crackers", "seasoned butter crackers"]
579. ["plain butter crackers", "buttery crackers plain", "butter crackers", "unsalted butter crackers", "butter crackers original"]
580. ["reduced fat butter crackers", "low fat ritz", "light butter crackers", "butter crackers reduced fat", "ritz light"]
581. ["reduced sodium butter crackers", "low salt ritz", "butter crackers low sodium", "ritz less salt", "lightly salted butter crackers"]
582. ["cheese crackers", "cheddar crackers", "cheese snack crackers", "cheese flavored crackers", "cheese cracker original"]
583. ["cheez it", "cheez it original", "cheez it crackers", "cheddar cheez it", "cheese crackers cheez it"]
584. ["goldfish crackers", "cheddar goldfish", "original goldfish", "pepperidge farm goldfish", "cheese goldfish"]
585. ["reduced fat cheese crackers", "light cheese crackers", "low fat cheese crackers", "cheese crackers reduced fat", "cheese cracker light"]
586. ["reduced sodium cheese crackers", "low salt cheese crackers", "lightly salted cheese crackers", "cheese crackers low sodium", "less salt cheese crackers"]
587. ["whole grain cheese crackers", "wheat cheese crackers", "whole wheat cheese crackers", "cheese crackers whole grain", "cheddar whole grain crackers"]
588. ["crispbread", "rye crispbread", "wasa cracker", "crispbread crackers", "knackebrod"]
589. ["gluten free crackers flavored", "gf crackers flavored", "seasoned gluten free crackers", "cheddar gluten free crackers", "gluten free snack crackers"]
590. ["gluten free crackers", "gf crackers", "plain gluten free crackers", "wheat free crackers", "rice crackers gluten free"]
591. ["matzo", "matzah crackers", "matzo crackers", "unleavened bread crackers", "passover matzo"]
592. ["reduced sodium matzo", "low salt matzo crackers", "matzo less salt", "lightly salted matzah", "low sodium matzo"]
593. ["milk crackers", "leche crackers", "soda milk crackers", "galletas de leche", "cream crackers"]
594. ["multigrain crackers", "multi grain crackers", "whole grain crackers", "seeded crackers", "healthy crackers"]
595. ["oatmeal crackers", "oat crackers", "oat biscuit", "oats crackers", "oat thins"]
596. ["oyster crackers", "soup crackers", "small round crackers", "oyster soup crackers", "mini saltines"]
597. ["rice crackers", "senbei", "rice snack crackers", "asian rice crackers", "rice crisps"]
598. ["saltine crackers", "saltines", "soda crackers", "saltine", "square saltines"]
599. ["multigrain saltines", "whole grain saltines", "wheat saltine crackers", "saltine crackers multigrain", "multi grain soda crackers"]
600. ["reduced fat saltines", "low fat saltine crackers", "light saltine crackers", "saltine crackers reduced fat", "saltines light"]
601. ["sandwich crackers", "plain sandwich crackers", "cracker sandwiches", "mini sandwich crackers", "snack sandwich crackers"]
602. ["cheese sandwich crackers", "cheese filled crackers", "cheddar sandwich crackers", "cracker cheese sandwich", "cheese cracker sandwiches"]
603. ["peanut butter sandwich crackers", "pb sandwich crackers", "peanut butter filled crackers", "cracker sandwiches peanut butter", "pb crackers"]
604. ["reduced fat peanut butter sandwich crackers", "low fat pb sandwich crackers", "light peanut butter cracker sandwiches", "pb sandwich crackers reduced fat", "diet peanut butter crackers"]
605. ["water crackers", "plain water crackers", "entertainer crackers", "table water crackers", "thin water crackers"]
606. ["reduced fat wheat crackers", "low fat wheat crackers", "light wheat crackers", "wheat thins light", "wheat crackers reduced fat"]
607. ["reduced sodium wheat crackers", "low salt wheat crackers", "lightly salted wheat crackers", "wheat crackers low sodium", "less salt wheat thins"]
608. ["whole grain peanut butter sandwich crackers", "whole wheat pb crackers", "peanut butter cracker sandwiches whole grain", "wheat peanut butter sandwich crackers", "pb filled whole grain crackers"]
609. ["wonton crackers", "wonton strips", "fried wonton strips", "crispy wonton crackers", "wonton crisps"]
610. ["reduced fat woven wheat crackers", "light woven wheat crackers", "low fat woven wheat crackers", "triscuit reduced fat", "woven wheat crackers light"]
611. ["reduced sodium woven wheat crackers", "low salt woven wheat crackers", "lightly salted triscuit", "woven wheat crackers low sodium", "reduced salt woven wheat crackers"]
612. ["dried cranberries","cranberries dried","dried cranberry","cranberry dried","craisins"]
613. ["raw cranberries","fresh cranberries","cranberries raw","cranberry fresh","cranberry raw"]
614. ["cranberry juice blend 100% calcium","100% cranberry juice blend calcium","cranberry juice with calcium","cranberry blend 100 percent calcium","cranberry juice 100% with calcium"]
615. ["cranberry juice drink high vitamin c","cranberry cocktail high c","cranberry drink vitamin c","cranberry beverage high c","cranberry juice high c"]
616. ["cranberry juice drink light high vitamin c","light cranberry cocktail high c","diet cranberry drink vitamin c","low calorie cranberry drink high c","light cranberry beverage high c"]
617. ["cranberry juice 100%","100% cranberry juice","pure cranberry juice","unsweetened cranberry juice","cranberry juice no sugar"]
618. ["cranberry sauce","jellied cranberry sauce","whole berry cranberry sauce","canned cranberry sauce","cranberry relish"]
619. ["cooked crayfish","crawfish cooked","boiled crawfish","cooked crawdads","crayfish meat"]
620. ["fat free cream cheese","nonfat cream cheese","cream cheese fat free","zero fat cream cheese","lightest cream cheese"]
621. ["cream cheese","regular cream cheese","full fat cream cheese","original cream cheese","plain cream cheese"]
622. ["cream puff with filling icing","filled cream puff","cream puff iced","cream puff with icing","eclair style cream puff"]
623. ["cream puff plain","cream puff no filling","unfilled cream puff","cream puff shell","choux pastry puff"]
624. ["half and half","half & half","half and half cream","coffee creamer half and half","light cream half and half"]
625. ["fat free half and half","fat free half & half","nonfat half and half","fat free coffee creamer","zero fat half and half"]
626. ["heavy cream","heavy whipping cream","whipping cream","heavy cream 36%","heavy cream dairy"]
627. ["light cream","table cream","coffee cream","light whipping cream","cream light"]
628. ["creamsicle","orange creamsicle","cream pop","orange cream bar","dreamsicle"]
629. ["crepe","plain crepe","basic crepe","sweet crepe","savory crepe"]
630. ["cress raw","garden cress","cress greens","fresh cress","peppercress"]
631. ["croissant","plain croissant","butter croissant","croissant roll","croissant pastry"]
632. ["cheese croissant","croissant with cheese","cheesy croissant","cheese filled croissant","croissant cheese"]
633. ["croutons","salad croutons","garlic croutons","seasoned croutons","bread croutons"]
634. ["cucumber slices","sandwich cucumber","sliced cucumber for sandwich","cucumber sandwich slices","cucumber rounds"]
635. ["cucumber raw","fresh cucumber","cucumber whole","cucumber peeled","cucumber pieces"]
636. ["dried currants","currants dried","zante currants","dried black currants","currant raisins"]
637. ["dandelion greens","raw dandelion greens","dandelion leaves","dandelion salad greens","wild dandelion greens"]
638. ["danish pastry plain","plain danish","spiced danish","cinnamon danish","danish roll"]
639. ["cheese danish","danish cheese","cream cheese danish","cheese pastry","cheese danish pastry"]
640. ["fruit danish","danish fruit","apple danish","berry danish","fruit pastry"]
