1. ["agave syrup", "agave nectar", "liquid agave sweetener", "agave sweetener"]
292. ["quaker chewy less sugar", "quaker chewy 25 percent less sugar", "quaker reduced sugar bar", "quaker chewy granola bar less sugar", "quaker kids less sugar bar", "quaker chewy snack bar"]
293. ["quaker chewy 90 calorie", "quaker 90 calorie bar", "quaker chewy light bar", "quaker chewy granola bar 90", "quaker low calorie bar", "quaker chewy snack 90"]
294. ["quaker chewy dipps", "quaker dipps granola bar", "chocolate coated quaker chewy", "quaker chewy chocolate dipps", "dipps snack bar", "quaker chewy coated bar"]
295. ["quaker chewy bar", "quaker chewy granola bar", "quaker chewy snack bar", "quaker granola bar chewy", "quaker chewy oats and chocolate", "quaker chewy variety"]
296. ["quaker granola bites", "granola bites quaker", "quaker mini granola snacks", "quaker bite size granola", "granola bites snack", "quaker bites"]
297. ["granola bar nuts chocolate coated", "chocolate coated nut bar", "granola bar chocolate with nuts", "nutty chocolate bar snack", "chocolate dipped granola bar", "trail bar chocolate coated"]
298. ["chocolate coated granola bar", "chocolate covered cereal bar", "chocolate dipped granola", "coated granola bar", "chocolate snack bar", "cereal bar chocolate"]
299. ["yogurt coated granola bar", "vanilla coated granola bar", "white coating granola bar", "non chocolate coated cereal bar", "yogurt covered snack bar", "coated granola bar no chocolate"]
300. ["high fiber yogurt coated bar", "fiber granola bar yogurt", "yogurt covered fiber bar", "fiber cereal bar yogurt coating", "high fiber snack bar yogurt", "fiber one yogurt coated bar"]
301. ["low fat granola bar", "low fat cereal bar", "light granola bar", "reduced fat snack bar", "low fat breakfast bar", "low calorie granola bar"]
302. ["nonfat granola bar", "fat free cereal bar", "zero fat granola bar", "no fat snack bar", "fat free breakfast bar", "nonfat cereal bar"]
303. ["oats and nuts granola bar", "yogurt coated oats nuts bar", "nutty granola bar white coating", "oats nuts cereal bar coated", "granola bar nuts yogurt", "trail bar oats nuts coated"]
304. ["peanut oats granola bar", "peanut oat bar", "peanut oat sugar wheat germ bar", "granola bar peanuts oats", "peanut granola bar", "oat and peanut snack bar"]
305. ["reduced sugar granola bar", "lower sugar cereal bar", "less sugar snack bar", "light sugar granola bar", "granola bar less sugar", "reduced sugar breakfast bar"]
306. ["coconut chocolate granola bar", "chocolate coated coconut bar", "granola bar coconut chocolate", "coconut nut chocolate bar", "coconut chocolate snack bar", "coconut granola bar chocolate"]
307. ["rice cereal bar", "crispy rice granola bar", "rice krispies bar", "puffed rice snack bar", "rice cereal snack", "crisp rice bar"]
308. ["nature valley yogurt coated chewy", "yogurt covered nature valley", "nature valley chewy yogurt bar", "general mills nature valley yogurt bar", "yogurt granola bar nature valley", "chewy yogurt granola bar"]
309. ["cooked cereal", "hot cereal", "porridge", "cooked oatmeal", "cream of wheat", "farina cooked"]
310. ["chard raw", "swiss chard raw", "rainbow chard raw", "fresh chard leaves", "raw chard greens", "uncooked swiss chard"]
311. ["chile con queso", "queso dip", "cheese dip with chiles", "spicy cheese dip", "chili pepper cheese dip", "white queso dip"]
312. ["cheese corn snacks", "cheese puffs", "cheese curls", "cheese balls snack", "cheesy corn chips", "cheese puffed snacks"]
313. ["cheetos", "cheetos puffs", "cheetos crunchy", "cheetos snack", "cheetos cheese curls", "cheetos cheese snacks"]
314. ["reduced fat cheese puffs", "light cheese corn snacks", "cheetos reduced fat", "low fat cheese curls", "baked cheese puffs", "light cheesy snacks"]
315. ["cheese spread cheddar", "american cheese spread", "cheddar spread", "cheese spread jar", "pasteurized cheese spread", "pub cheese spread"]
316. ["reduced fat cheese spread", "light cheddar spread", "american cheese spread light", "lower fat cheese spread", "lite cheese spread", "cheddar spread reduced fat"]
317. ["swiss cheese spread", "spreadable swiss", "swiss cheese dip", "swiss cheese spread jar", "pasteurized swiss spread", "swiss pub cheese"]
318. ["cream cheese spread", "whipped cream cheese", "spreadable cream cheese", "flavored cream cheese spread", "reduced fat cream cheese spread", "light cream cheese spread"]
319. ["spray cheese", "aerosol cheese", "easy cheese", "cheese in a can", "whipped cheese can", "pressurized cheese spread"]
320. ["port wine cheese", "cheese with wine", "wine cheese spread", "cheddar with wine", "port wine cheese spread", "wisconsin port wine cheese"]
321. ["american swiss blend", "swiss american cheese slices", "processed swiss american", "blend cheese american swiss", "marbled american swiss", "american swiss deli slices"]
322. ["fat free american cheese", "nonfat american slices", "american cheese fat free", "zero fat american cheese", "american singles fat free", "light american cheese no fat"]
323. ["reduced fat american cheese", "light american slices", "american cheese 2 percent", "american singles reduced fat", "low fat american cheese", "lite american cheese"]
324. ["reduced sodium american cheese", "low sodium american slices", "american cheese less salt", "american singles reduced sodium", "lower sodium american cheese", "american cheese low salt"]
325. ["blue cheese", "roquefort cheese", "crumbled blue cheese", "bleu cheese", "blue cheese wedge", "blue cheese crumbles"]
326. ["brick cheese", "wisconsin brick", "brick style cheese", "mild brick cheese", "brick cheese slice", "brick cheese block"]
327. ["brie cheese", "double cream brie", "brie wedge", "brie round", "creamy brie", "brie rind"]
328. ["camembert cheese", "camembert wheel", "soft ripened camembert", "creamy camembert", "camembert wedge", "french camembert"]
329. ["cheddar cheese", "sharp cheddar", "mild cheddar", "cheddar block", "cheddar slices", "white cheddar"]
330. ["fat free cheddar", "nonfat cheddar", "zero fat cheddar cheese", "cheddar cheese fat free", "fat free cheddar slices", "light cheddar no fat"]
331. ["reduced fat cheddar", "cheddar 2 percent", "light cheddar cheese", "lower fat cheddar", "cheddar slices reduced fat", "lite cheddar"]
332. ["reduced sodium cheddar", "low sodium cheddar", "cheddar less salt", "cheddar reduced salt", "cheddar cheese low sodium", "light salt cheddar"]
333. ["colby cheese", "colby block", "colby slices", "mild colby cheese", "colby deli slices", "colby cheese stick"]
334. ["feta cheese", "crumbled feta", "greek feta", "cow milk feta", "sheep milk feta", "feta block"]
335. ["fontina cheese", "italian fontina", "fontina wedge", "mild fontina", "fontina slices", "fontina block"]
336. ["gouda cheese", "edam cheese", "young gouda", "smoked gouda", "gouda slices", "edam ball cheese"]
337. ["gruyere cheese", "swiss gruyere", "gruyere wedge", "gruyere block", "gruyere slices", "aged gruyere"]
338. ["limburger cheese", "stinky cheese limburger", "limburger block", "limburger slices", "german limburger", "limburger wedge"]
339. ["mexican blend cheese", "mexican shredded cheese", "four cheese mexican", "taco blend cheese", "fiesta blend cheese", "mexican cheese mix"]
340. ["reduced fat mexican blend", "light mexican shredded cheese", "low fat taco blend", "lite fiesta blend cheese", "mexican blend cheese reduced fat", "2 percent mexican blend"]
341. ["monterey jack", "jack cheese", "monterey jack slices", "monterey jack block", "monterey jack shredded", "monterey cheese"]
342. ["reduced fat monterey jack", "light jack cheese", "monterey jack 2 percent", "low fat jack cheese", "lite monterey jack", "reduced fat jack slices"]
343. ["mozzarella cheese", "mozzarella", "fresh mozzarella", "shredded mozzarella", "mozzarella block", "mozzarella slices"]
344. ["fat free mozzarella", "nonfat mozzarella", "zero fat mozzarella cheese", "mozzarella fat free", "fat free shredded mozzarella", "light mozzarella no fat"]
345. ["part skim mozzarella", "low moisture part skim mozzarella", "part skim shredded mozzarella", "mozzarella part skim slices", "light part skim mozzarella", "low moisture mozzarella"]
346. ["reduced sodium mozzarella", "low sodium mozzarella", "mozzarella less salt", "mozzarella reduced salt", "mozzarella cheese low sodium", "light salt mozzarella"]
347. ["muenster cheese", "munster cheese", "muenster slices", "muenster block", "muenster deli slices", "soft muenster cheese"]
348. ["reduced fat muenster", "light muenster cheese", "muenster 2 percent", "low fat muenster slices", "lite muenster", "reduced fat munster"]
349. ["fat free parmesan grated", "parmesan dry grated fat free", "fat free parm cheese", "parmesan powder fat free", "zero fat grated parmesan", "fat free parmesan shaker"]
350. ["port du salut cheese", "port salut cheese", "french port du salut", "semi soft port salut", "port salut wedge", "port du salut slices"]
351. ["provolone cheese", "provolone slices", "provolone deli slices", "aged provolone", "provolone block", "smoked provolone"]
352. ["swiss cheese", "baby swiss cheese", "swiss slices", "swiss cheese block", "swiss deli slices", "swiss cheese wedge"]
353. ["fat free swiss cheese", "nonfat swiss slices", "zero fat swiss", "swiss cheese fat free", "fat free baby swiss", "light swiss no fat"]
354. ["reduced fat swiss", "light swiss cheese", "swiss 2 percent", "low fat swiss slices", "lite swiss", "reduced fat swiss slices"]
355. ["reduced sodium swiss", "low sodium swiss", "swiss less salt", "swiss reduced salt", "swiss cheese low sodium", "light salt swiss"]
356. ["cottage cheese", "cottage cheese regular", "creamed cottage cheese", "cottage curds", "plain cottage cheese", "cottage cheese tub"]
357. ["cottage cheese creamed", "large curd cottage cheese", "small curd cottage cheese", "creamed cottage", "4 percent milkfat cottage cheese", "cottage cheese large curd"]
358. ["dry curd cottage cheese", "farmer cheese dry curd", "cottage cheese dry", "uncreamed cottage cheese", "curd cheese dry", "cottage cheese dry curds"]
359. ["low fat cottage cheese", "2 percent cottage cheese", "light cottage cheese", "reduced fat cottage cheese", "lowfat cottage cheese", "cottage cheese light"]
360. ["low fat cottage cheese lactose free", "lactose reduced cottage cheese", "lactose free low fat cottage", "low lactose cottage cheese", "reduced lactose cottage cheese", "cottage cheese lactose free light"]
361. ["low sodium cottage cheese", "low salt cottage cheese", "low fat low sodium cottage", "reduced sodium cottage cheese", "diet cottage cheese low salt", "light cottage cheese low sodium"]
362. ["goat cheese", "chevre", "fresh goat cheese", "goat cheese log", "crumbled goat cheese", "soft goat cheese"]
363. ["processed cheese", "pasteurized cheese food", "american singles", "velveeta", "processed cheese loaf", "melting cheese"]
364. ["reduced fat provolone", "light provolone cheese", "provolone 2 percent", "low fat provolone slices", "lite provolone", "reduced fat provolone slices"]
365. ["mcdonalds cheeseburger", "mc cheeseburger", "mcdonalds hamburger with cheese", "mcd cheeseburger", "mcdonalds regular cheeseburger", "mcdonalds small cheeseburger"]
366. ["cheeseburger", "fast food cheeseburger", "homemade cheeseburger", "cheeseburger sandwich", "cheeseburger patty on bun", "restaurant cheeseburger"]
367. ["dried cherries", "dried tart cherries", "sweetened dried cherries", "unsweetened dried cherries", "dried cherry pieces", "montmorency dried cherries"]
368. ["frozen cherries", "frozen sweet cherries", "frozen tart cherries", "cherry frozen fruit", "frozen pitted cherries", "frozen dark sweet cherries"]
369. ["maraschino cherries", "cocktail cherries", "cherry maraschino", "jarred maraschino cherries", "red cherries in syrup", "ice cream cherries"]
370. ["fresh cherries", "raw cherries", "sweet cherries", "tart cherries", "bing cherries", "rainier cherries"]
371. ["chestnuts", "roasted chestnuts", "fresh chestnuts", "chestnut kernels", "peeled chestnuts", "chestnuts raw"]
372. ["chewing gum", "bubble gum", "mint gum", "stick gum", "sugar gum", "regular gum"]
373. ["sugar free gum", "sugarless gum", "xylitol gum", "mint sugar free gum", "sugar free chewing gum", "aspartame gum"]
374. ["chia seeds", "black chia seeds", "white chia seeds", "chia seed", "organic chia seeds", "chia seed whole"]
375. ["plain chicken wings restaurant", "fast food chicken wings plain", "plain wings no sauce", "fried wings plain", "bone in wings plain", "restaurant wings unsauced"]
376. ["plain chicken wings precooked", "precooked wings plain", "pre cooked chicken wings", "frozen wings plain cooked", "heat and serve wings plain", "baked wings plain precooked"]
377. ["chicken breast baked precooked skin on", "pre cooked chicken breast skin eaten", "broiled chicken breast skin on precooked", "cooked chicken breast with skin", "reheated chicken breast skin on", "pre cooked baked chicken breast skin"]
378. ["chicken breast baked precooked no skin", "pre cooked chicken breast skinless", "broiled chicken breast skin off precooked", "cooked chicken breast without skin", "reheated chicken breast skinless", "pre cooked baked chicken breast no skin"]
379. ["rotisserie chicken breast skin on", "rotisserie breast with skin", "rotisserie chicken white meat skin eaten", "store rotisserie chicken breast skin on", "rotisserie breast skin on", "rotisserie chicken breast with skin"]
380. ["rotisserie chicken breast no skin", "rotisserie breast skinless", "rotisserie white meat skin off", "store rotisserie chicken breast no skin", "rotisserie chicken breast without skin", "rotisserie breast skin removed"]
381. ["frozen chicken dinner", "chicken tv dinner", "frozen chicken meal", "microwave chicken dinner", "chicken frozen entree", "frozen chicken tray meal"]
382. ["chicken drumstick baked precooked skin on", "pre cooked drumstick skin eaten", "broiled drumstick skin on precooked", "cooked drumstick with skin", "reheated chicken leg skin on", "pre cooked baked drumstick skin"]
383. ["chicken drumstick baked precooked no skin", "pre cooked drumstick skinless", "broiled drumstick skin off precooked", "cooked drumstick without skin", "reheated chicken leg skinless", "pre cooked baked drumstick no skin"]
384. ["rotisserie chicken drumstick skin on", "rotisserie leg with skin", "rotisserie dark meat skin eaten", "store rotisserie drumstick skin on", "rotisserie chicken leg skin on", "rotisserie drumstick with skin"]
385. ["rotisserie chicken drumstick no skin", "rotisserie leg skinless", "rotisserie dark meat skin off", "store rotisserie drumstick no skin", "rotisserie chicken leg without skin", "rotisserie drumstick skin removed"]
386. ["chicken feet", "chicken paws", "chicken feet raw", "dim sum chicken feet", "braised chicken feet", "chicken feet cooked"]
387. ["chicken fillet sandwich", "crispy chicken sandwich", "grilled chicken sandwich", "chicken breast sandwich", "fast food chicken sandwich", "chicken fillet on bun"]
388. ["breaded chicken fillet", "breaded chicken cutlet", "chicken fillet breaded fried", "breaded chicken breast fillet", "crispy chicken fillet", "breaded chicken patty fillet"]
389. ["chicken nuggets", "nuggets chicken", "boneless chicken nuggets", "fried chicken nuggets", "breaded chicken nuggets", "chicken nugget pieces"]
390. ["fast food chicken nuggets", "mcdonalds nuggets", "wendys nuggets", "burger king nuggets", "restaurant chicken nuggets", "drive thru chicken nuggets"]
391. ["frozen chicken nuggets", "oven baked chicken nuggets", "store bought frozen nuggets", "air fryer chicken nuggets frozen", "frozen breaded nuggets", "heat and serve nuggets"]
392. ["restaurant chicken nuggets", "sit down restaurant nuggets", "fast casual chicken nuggets", "chicken nuggets dine in", "restaurant order nuggets", "kids menu nuggets"]
393. ["school lunch chicken nuggets", "school cafeteria nuggets", "nslp chicken nuggets", "k 12 chicken nuggets", "school menu nuggets", "cafeteria style chicken nuggets"]
394. ["chicken and vegetables soy sauce", "turkey and vegetables soy", "broccoli carrot chicken stir fry", "dark leafy greens chicken soy", "no potatoes chicken veggie", "turkey veggie stir fry soy"]
395. ["breaded chicken patty", "chicken patty breaded", "chicken burger patty breaded", "crispy chicken patty", "breaded chicken sandwich patty", "frozen chicken patty"]
396. ["chicken salad spread", "chicken sandwich spread", "deli chicken salad", "canned chicken salad spread", "chicken salad dip", "chicken spread for crackers"]
397. ["chicken tenders", "chicken strips", "chicken fingers", "crispy chicken tenders", "breaded chicken strips", "chicken tenderloins"]
398. ["fast food chicken tenders", "breaded chicken strips fast food", "chicken fingers fast food", "drive thru chicken tenders", "restaurant chicken strips fast", "fast food chicken fingers"]
399. ["frozen chicken tenders", "frozen breaded chicken strips", "oven baked chicken tenders", "air fryer chicken strips frozen", "store bought chicken tenders", "heat and eat chicken strips"]
400. ["school lunch chicken tenders", "school cafeteria chicken strips", "nslp chicken tenders", "k 12 chicken strips", "school menu chicken fingers", "cafeteria breaded tenders"]
401. ["chicken thigh baked precooked skin on", "pre cooked thigh skin eaten", "broiled thigh skin on precooked", "cooked chicken thigh with skin", "reheated chicken thigh skin on", "pre cooked baked thigh skin"]
402. ["chicken thigh baked precooked no skin", "pre cooked thigh skinless", "broiled thigh skin off precooked", "cooked chicken thigh without skin", "reheated thigh skinless", "pre cooked baked thigh no skin"]
403. ["rotisserie chicken thigh skin on", "rotisserie dark meat with skin", "rotisserie thigh skin eaten", "store rotisserie chicken thigh skin on", "rotisserie leg quarter skin on", "rotisserie thigh with skin"]
404. ["rotisserie chicken thigh no skin", "rotisserie thigh skinless", "rotisserie dark meat skin off", "store rotisserie thigh no skin", "rotisserie thigh without skin", "rotisserie thigh skin removed"]
405. ["chicken wings baked precooked", "broiled wings precooked", "pre cooked chicken wings baked", "reheated baked wings", "precooked wings no sauce", "baked chicken wing precooked"]
406. ["rotisserie chicken wings", "rotisserie wing", "store rotisserie wings", "rotisserie chicken wing pieces", "rotisserie wings plain", "rotisserie wings seasoned"]
407. ["canned chicken meat", "canned chicken breast meat", "chicken canned meat only", "drained canned chicken", "white meat canned chicken", "chicken in can meat only"]
408. ["chicken with vegetables", "chicken and veg mix", "chicken vegetable dish", "chicken veggie stir fry base", "chicken for veggie mix", "chicken with mixed vegetables"]
409. ["meatless chicken", "vegan chicken", "plant based chicken", "vegetarian chicken", "meatless chicken pieces", "soy chicken"]
410. ["vegan chicken nuggets", "plant based chicken breaded", "meatless chicken patty fried", "vegetarian chicken tenders breaded", "plant based chicken nuggets fried", "meatless chicken strips breaded"]
411. ["chicken lunch meat", "deli sliced chicken", "prepackaged chicken cold cuts", "sliced chicken breast deli", "chicken luncheon meat", "packaged chicken slices"]
412. ["low sodium chicken lunch meat", "reduced sodium sliced chicken", "deli chicken low salt", "chicken cold cuts reduced sodium", "lower sodium chicken lunch meat", "light salt deli chicken"]
413. ["chicken tail", "chicken tails", "parsons nose", "chicken tail piece", "chicken rump", "chicken tail cooked"]
414. ["chickpeas", "garbanzo beans", "canned chickpeas", "dry chickpeas", "cooked chickpeas", "chickpea beans"]
415. ["chili", "beef chili", "chili con carne", "vegetarian chili", "turkey chili", "spicy chili"]
416. ["rice chips", "rice crisps", "rice snack chips", "brown rice chips", "gluten free rice chips", "rice crackers chips"]
417. ["chives raw", "fresh chives", "chopped chives", "raw chive leaves", "garden chives", "uncooked chives"]
418. ["chocolate drink mix powder", "hot cocoa mix dry", "cocoa beverage powder", "chocolate powder not reconstituted"]
419. ["light chocolate drink mix", "diet hot cocoa powder", "light cocoa beverage powder", "reduced calorie chocolate mix"]
420. ["chocolate candy", "milk chocolate candy", "dark chocolate candy", "assorted chocolate sweets"]
421. ["chocolate candy with cereal", "crispy chocolate candy", "chocolate cereal clusters", "chocolate candy crunch"]
422. ["chocolate candy with dried fruit", "fruit and chocolate candy", "chocolate raisin candy", "trail mix chocolate candy"]
423. ["chocolate candy with nuts", "nut chocolate candy", "chocolate almond candy", "chocolate nut cluster"]
424. ["chocolate candy candy shell", "candy coated chocolate", "chocolate with candy shell", "chocolate buttons coated"]
425. ["chocolate cream filled candy", "chocolate truffle cream", "chocolate filled candy", "cream center chocolate"]
426. ["chocolate candy assorted", "mixed chocolate candy", "variety chocolate candy", "generic chocolate candy"]
427. ["sugar free chocolate candy", "sugarfree chocolate candy", "diet chocolate candy", "no sugar chocolate candy"]
428. ["chocolate chips", "semi sweet chocolate chips", "dark chocolate chips", "baking chocolate chips"]
429. ["chocolate hazelnut spread", "hazelnut cocoa spread", "nutella style spread", "choc hazelnut bread spread"]
430. ["chocolate milk drink", "ready to drink chocolate milk", "bottled chocolate milk", "chocolate dairy drink"]
431. ["chocolate skim milk", "fat free chocolate milk", "nonfat chocolate milk", "0% chocolate milk"]
432. ["chocolate milk 1%", "low fat chocolate milk", "1 percent chocolate milk", "reduced fat chocolate milk 1%"]
433. ["chocolate milk 2%", "reduced fat chocolate milk", "2 percent chocolate milk", "chocolate milk reduced fat"]
434. ["whole chocolate milk", "full fat chocolate milk", "chocolate whole milk", "3.25% chocolate milk"]
435. ["chocolate syrup", "chocolate sauce", "ice cream chocolate syrup", "baking chocolate syrup"]
436. ["light chocolate syrup", "low calorie chocolate syrup", "diet chocolate syrup", "reduced calorie chocolate sauce"]
437. ["chorizo", "mexican chorizo", "spanish chorizo", "pork chorizo"]
438. ["meatless chow mein no noodles", "vegetable chop suey no noodles", "vegan chow mein sauce", "meat free chop suey"]
439. ["cilantro fresh", "coriander leaves", "fresh cilantro bunch", "raw cilantro"]
440. ["canned clams", "chopped clams canned", "minced clams canned", "clams in can"]
441. ["clams raw", "fresh clams", "raw clam meat", "live clams"]
442. ["clams steamed", "clams boiled", "steamed clams", "boiled clam meat"]
443. ["clementine", "fresh clementine orange", "mandarin clementine", "cuties clementine"]
444. ["cocktail sauce", "shrimp cocktail sauce", "seafood cocktail sauce", "horseradish cocktail sauce"]
445. ["unsweetened cocoa powder", "baking cocoa powder", "natural cocoa powder", "cocoa powder not reconstituted"]
446. ["sweetened coconut cream", "cream of coconut canned", "canned coconut cream sweetened", "piña colada cream of coconut"]
447. ["coconut milk", "canned coconut milk", "unsweetened coconut milk", "coconut milk beverage"]
448. ["coconut milk for cooking", "full fat coconut milk", "canned coconut milk cooking", "culinary coconut milk"]
449. ["coconut oil", "virgin coconut oil", "refined coconut oil", "coconut cooking oil"]
450. ["coconut water unsweetened", "100% coconut water", "no sugar coconut water", "pure coconut water"]
451. ["fresh coconut", "fresh coconut meat", "raw coconut", "fresh coconut pieces"]
452. ["packaged coconut", "shredded coconut packaged", "sweetened coconut flakes", "desiccated coconut"]
453. ["coffee with chicory brewed", "chicory coffee brewed", "new orleans coffee chicory", "brewed coffee chicory blend"]
454. ["decaf coffee with chicory", "chicory coffee decaf brewed", "decaffeinated chicory coffee", "brewed decaf coffee chicory"]
455. ["yeast coffee cake", "braided coffee cake", "yeasted coffee cake", "coffeecake yeast type"]
456. ["coffee creamer", "nondairy creamer", "coffee whitener", "cream for coffee"]
457. ["liquid coffee creamer", "liquid nondairy creamer", "coffee liquid creamer", "pourable coffee creamer"]
458. ["liquid coffee creamer fat free", "nonfat liquid coffee creamer", "fat free coffee creamer", "skim liquid creamer"]
459. ["liquid coffee creamer fat free sugar free flavored", "sugar free fat free liquid creamer flavored", "zero sugar fat free flavored creamer", "light flavored coffee creamer"]
460. ["liquid coffee creamer flavored", "vanilla coffee creamer", "hazelnut liquid creamer", "flavored nondairy creamer"]
461. ["liquid coffee creamer sugar free flavored", "sugar free flavored creamer", "zero sugar liquid creamer", "diet flavored coffee creamer"]
462. ["powder coffee creamer", "nondairy creamer powder", "coffee whitener powder", "dry coffee creamer"]
463. ["powder coffee creamer fat free", "nonfat powdered creamer", "fat free coffee creamer powder", "dry creamer fat free"]
464. ["powder coffee creamer flavored", "flavored powdered creamer", "vanilla creamer powder", "hazelnut creamer powder"]
465. ["soy coffee creamer liquid", "soy creamer", "non dairy soy creamer", "liquid soy coffee creamer"]
466. ["powder coffee creamer sugar free flavored", "sugar free flavored creamer powder", "zero sugar powdered creamer", "diet creamer powder flavored"]
467. ["coffee substitute", "herbal coffee substitute", "chicory barley coffee", "grain coffee beverage"]
468. ["bottled coffee", "canned coffee", "ready to drink coffee", "cold brew can coffee"]
469. ["brewed coffee", "drip coffee", "hot brewed coffee", "cup of coffee"]
470. ["brewed decaf coffee", "decaffeinated coffee", "decaf drip coffee", "brewed coffee no caffeine"]
471. ["brewed flavored coffee", "vanilla flavored coffee", "hazelnut brewed coffee", "flavored drip coffee"]
472. ["espresso", "espresso shot", "double espresso", "espresso coffee"]
473. ["decaf espresso", "espresso decaffeinated", "decaf espresso shot", "espresso no caffeine"]
474. ["instant coffee decaf powder", "decaffeinated instant coffee granules", "decaf coffee crystals", "instant decaf not reconstituted"]
475. ["instant coffee mix decaf pre lightened sweetened", "3 in 1 decaf coffee mix", "instant decaf coffee sugar creamer", "decaf coffee mix powder sweetened"]
476. ["instant coffee powder", "instant coffee granules", "coffee crystals", "instant coffee not reconstituted"]
477. ["coleslaw dressing", "slaw dressing", "creamy coleslaw dressing", "vinegar coleslaw dressing"]
478. ["fast food coleslaw", "restaurant coleslaw", "coleslaw side", "takeout coleslaw"]
479. ["collard greens raw", "fresh collards", "raw collard leaves", "uncooked collard greens"]
480. ["cookie bar chocolate nuts graham", "chocolate nut graham bar", "rocky road cookie bar", "graham cracker cookie bar"]
481. ["lebkuchen cookie", "german lebkuchen", "gingerbread lebkuchen", "spice honey cookie"]
482. ["assorted cookies", "generic cookie", "cookie variety", "mixed cookies"]
483. ["pfeffernusse cookie", "german pfeffernusse", "spice sugar cookie", "peppernut cookies"]
484. ["pizzelle cookie", "italian pizzelle", "waffle cookie pizzelle", "anisette cookie pizzelle"]
485. ["almond cookie", "chinese almond cookie", "almond biscuit", "almond flavored cookie"]
486. ["animal crackers", "animal cookie", "kids animal crackers", "animal shaped cookie"]
487. ["frosted animal crackers", "iced animal cookies", "animal crackers with icing", "circus animal cookies"]
488. ["applesauce cookie", "apple spice cookie", "soft applesauce cookies", "low fat applesauce cookie"]
489. ["cookie bar with chocolate", "chocolate cookie bar", "bar cookie chocolate", "chocolate chip bar cookie"]
490. ["brownie cookie without icing", "plain brownie cookie", "cookie brownie no frosting", "brownie bite no icing"]
491. ["sugar cookie", "butter cookie", "plain sugar cookie", "butter sugar cookie"]
492. ["sugar cookie with chocolate icing", "butter cookie chocolate filled", "sugar cookie chocolate sandwich", "chocolate iced sugar cookie"]
493. ["butterscotch brownie cookie", "butterscotch blondie", "butterscotch bar cookie", "butterscotch brownie bar"]
494. ["chocolate and vanilla sandwich cookie", "black and white sandwich cookie", "duo flavor sandwich cookie", "swirl sandwich cookie"]
495. ["chocolate chip cookie", "homemade chocolate chip cookie", "soft baked chocolate chip cookie", "classic choc chip cookie"]
496. ["chocolate chip sandwich cookie", "choc chip cream sandwich", "chocolate chip cookie sandwich", "chipwich style cookie"]
497. ["reduced fat chocolate chip cookie", "low fat choc chip cookie", "light chocolate chip cookie", "chocolate chip cookie reduced fat"]
498. ["reduced sugar chocolate chip cookie", "low sugar choc chip cookie", "light sugar chocolate chip cookie", "chocolate chip cookie reduced sugar"]
499. ["chocolate cookie", "fudge cookie", "double chocolate cookie", "chocolate fudge cookie"]
500. ["chocolate sandwich cookie", "chocolate creme sandwich cookie", "chocolate cookie with vanilla creme", "choco sandwich cookie"]
501. ["reduced fat chocolate sandwich cookie", "light chocolate sandwich cookie", "low fat choco sandwich", "chocolate creme sandwich reduced fat"]
502. ["chocolate wafer cookie", "thin chocolate wafer", "chocolate wafer biscuit", "cookie chocolate wafer"]
503. ["no bake chocolate oatmeal coconut cookie", "chocolate oatmeal coconut no bake", "no bake haystack cookie", "stovetop oatmeal coconut cookie"]
504. ["chocolate rice cereal cookie", "no bake chocolate rice cereal", "chocolate crispy rice cookie", "chocolate rice krispie cookie"]
505. ["chocolate sandwich cookie extra filling", "double stuffed chocolate sandwich", "extra creme chocolate sandwich", "double fill choco sandwich cookie"]
506. ["chocolate cookie with icing", "chocolate iced cookie", "chocolate coated cookie", "frosted chocolate cookie"]
507. ["coconut cookie", "coconut macaroon cookie", "toasted coconut cookie", "chewy coconut cookie"]
508. ["ice cream cone wafer", "wafer cone shell", "cake cone", "wafer cone cookie shell"]
509. ["fig bar cookie", "fig filled cookie", "fig newton", "fig cookie bar"]
510. ["fortune cookie", "chinese fortune cookie", "crispy fortune cookie", "fortune biscuit"]
511. ["fruit filled cookie bar", "strawberry fruit bar cookie", "raspberry filled bar cookie", "fig fruit bar cookie"]
512. ["gingersnaps", "gingersnap cookie", "crispy ginger cookie", "spice snap cookie"]
513. ["gluten free cookie", "gf cookie", "gluten free biscuit", "wheat free cookie"]
514. ["granola cookie", "oat granola cookie", "granola bar cookie", "trail mix cookie"]
515. ["ladyfinger cookie", "savoiardi", "lady fingers biscuit", "tiramisu ladyfingers"]
516. ["macaroon cookie", "coconut macaroon", "almond macaroon", "chewy macaroon cookie"]
517. ["marshmallow peanut butter oat cookie no bake", "no bake marshmallow peanut butter cookie", "oat cereal marshmallow cookie", "no bake marshmallow oat cookie"]
518. ["chocolate covered marshmallow pie cookie", "marshmallow pie chocolate coated", "moon pie", "choco marshmallow sandwich pie"]
519. ["chocolate covered marshmallow cookie", "marshmallow cookie chocolate coated", "mallomar style cookie", "choco marshmallow treat"]
520. ["marshmallow cookie with coconut", "coconut marshmallow cookie", "snowball cookie", "coconut covered marshmallow"]
521. ["marshmallow rice cereal chocolate chip cookie", "marshmallow with rice cereal and chocolate chips", "rocky road rice cereal cookie", "marshmallow cereal cookie chocolate chips"]
522. ["marshmallow rice cereal no bake cookie", "no bake marshmallow cereal cookie", "rice cereal marshmallow treat cookie", "cereal bar cookie no bake"]
523. ["molasses cookie", "soft molasses cookie", "spice molasses cookie", "old fashioned molasses cookie"]
